# tools/english/messages.tsv — Diagnose- und Ausgabetexte, deutsch -> englisch.
# Links steht der EXAKTE Rumpf des Zeichenkettenliterals aus dem Quelltext
# (mit Maskierungen wie \0, \n, \"), rechts der englische Rumpf.
# Beide Uebersetzer teilen diese Tabelle, damit firnc0 und firnc1
# ZEICHENGLEICHE Meldungen ausgeben. Angewandt von messages.py.
    # asm (volatile): darf weder entfernt noch verschoben werden	    # asm (volatile): must be neither removed nor moved
    # barrier: undurchsichtig fuer jeden Optimierungsdurchgang	    # barrier: opaque to every optimization pass
der stapel ist die OBERE adresse des fadenstapels (er waechst nach unten)	the stack is the UPPER address of the thread stack (it grows downwards)
der typ '{}' ist mehrdeutig	the type '{}' is ambiguous
der typ '{}' ist mit #[must_consume] gekennzeichnet	the type '{}' is marked with #[must_consume]
der typ f64	the type f64
dereferenzierung erwartet einen zeiger	dereference expects a pointer
dereferenzierung erwartet einen zeiger, gefunden {}	dereference expects a pointer, found {}
desselben ganzzahltyps, gefunden i32 und i64	of the same integer type, found i32 and i64
die Multiplikation ist nicht im Vorkopf gelandet	the multiplication did not end up in the preheader
die Multiplikation steht noch im Rumpf: {:?}	the multiplication is still in the body: {:?}
die alloca-Zelle muss befoerdert werden	the alloca cell must be promoted
die bedingung von 'select' muss bool sein, gefunden {}	the condition of 'select' must be bool, found {}
die bereichsgrenzen passen nicht in den typ {}	the range bounds do not fit into the type {}
die byteanzahl von 'secure_zero' muss eine ganzzahl sein, gefunden {}	the byte count of 'secure_zero' must be an integer, found {}
die fehlermenge '{}' ist nicht deklariert	the error set '{}' is not declared
die fehlervariante '{}::{}' traegt keine nutzdaten	the error variant '{}::{}' carries no payload
die form ist __atomar_addieren(p: *mut u64, delta: u64) -> u64	the form is __atomic_add(p: *mut u64, delta: u64) -> u64
die form ist __atomar_tauschen(p: *mut u64, erwartet: u64, neu: u64) -> u64	the form is __atomic_swap(p: *mut u64, expected: u64, new: u64) -> u64
die form ist __faden_selbst() -> *mut u8	the form is __thread_self() -> *mut u8
die form ist __faden_starten(arg: u64, stapel: u64, ctid: *mut u8) -> i64	the form is __thread_start(arg: u64, stack: u64, ctid: *mut u8) -> i64
die form ist __mmio_read<breite>(p: *mut T) -> T	the form is __mmio_read<width>(p: *mut T) -> T
die form ist __mmio_write<breite>(p: *mut T, wert: T)	the form is __mmio_write<width>(p: *mut T, value: T)
die laenge eines wiederholungsliterals muss eine ganzzahl sein, gefunden {}	the length of a repetition literal must be an integer, found {}
die laenge eines wiederholungsliterals muss groesser als null sein	the length of a repetition literal must be greater than zero
die neue Funktion fehlt	the new function is missing
die schnittstelle '{}' hat die methode '{}' bereits	the interface '{}' already has the method '{}'
die schnittstelle '{}' hat keine methode '{}'	the interface '{}' has no method '{}'
die schnittstelle '{}' hat keine methoden	the interface '{}' has no methods
die schnittstelle '{}' ist bereits deklariert	the interface '{}' is already declared
die schranke '{}' steht zweimal an '{}'	the bound '{}' appears twice on '{}'
die varianten {} sind	the variants {} are
die vererbungskette von 'gc class {}' ist ringfoermig	the inheritance chain of 'gc class {}' is cyclic
diese anweisung gibt es zur uebersetzungszeit nicht	this statement does not exist at compile time
diese funktion hat keinen rueckgabetyp, 'return' darf keinen wert haben	this function has no return type, 'return' must not carry a value
dieser ausdruck hat keine adresse	this expression has no address
dieser fall ist unerreichbar	this arm is unreachable
division durch null im konstanten ausdruck	division by zero in the constant expression
doppelter Attributname: {}	duplicate attribute name: {}
durch die Bedingung ausgeschlossen	excluded by the condition
eigene funktion fehlt:\n{}	own function missing:\n{}
ein 'gc class'-wert lebt nur auf dem GC-Heap: schreibe '*self' oder '*mut self'	a 'gc class' value lives only on the GC heap: write '*self' or '*mut self'
ein 'gc class'-wert lebt nur auf dem GC-Heap: schreibe 'Gc[	a 'gc class' value lives only on the GC heap: write 'Gc[
ein GC-Element im Speicher	a GC element in memory
ein GC-Feld hinter einem Zeiger	a GC field behind a pointer
ein array braucht mindestens ein element; schreibe ein feld der gewuenschten laenge, z. B. '[0 as u8; 8]'	an array needs at least one element; write an array of the desired length, e.g. '[0 as u8; 8]'
ein asm-block hat hoechstens ein 'out'-register	an asm block has at most one 'out' register
ein aufzaehlungswert ist ein aggregat und kein skalarer wert	an enum value is an aggregate and not a scalar value
ein feld kann nicht den typ '()' haben	a field cannot have the type '()'
ein frueherer fall in zeile {} trifft immer zu	an earlier arm in line {} always matches
ein parameter dieses typs ist nicht uebersetzbar	a parameter of this type is not compilable
ein parameter kann nicht den typ '()' haben	a parameter cannot have the type '()'
ein rueckgabetyp dieser art ist nicht uebersetzbar	a return type of this kind is not compilable
ein schnittstellenwert entsteht aus einem zeiger auf einen struct, gefunden {}	an interface value is made from a pointer to a struct, found {}
ein schnittstellenwert entsteht aus einem zeiger, gefunden {}	an interface value is made from a pointer, found {}
ein schwacher verweis entsteht nur aus einem starken	a weak reference is made only from a strong one
eine #[interrupt]-funktion hat keine parameter, '{}' hat {}	an #[interrupt] function has no parameters, '{}' has {}
eine #[interrupt]-funktion liefert keinen wert, '{}' hat einen rueckgabetyp	an #[interrupt] function yields no value, '{}' has a return type
eine Division darf NIE unbedingt ausgefuehrt werden (Division durch null)	a division must NEVER be executed unconditionally (division by zero)
eine basis muss selbst mit 'gc class' deklariert sein (SPEC 4.4)	a base must itself be declared with 'gc class' (SPEC 4.4)
eine fehlermenge wird mit 'error Name { A, B }' deklariert	an error set is declared with 'error Name { A, B }'
eine fehlerunion entsteht aus einem rueckgabetyp der form 'E!T'	an error union is made from a return type of the form 'E!T'
eine fehlerunion ueber dem erfolgstyp '{}' kann nicht feldtyp eines structs sein	an error union over the success type '{}' cannot be the field type of a struct
eine funktion	a function
eine gc-klasse wird mit 'gc class Name { … }' deklariert	a gc class is declared with 'gc class Name { … }'
eine konstante hat keine adresse	a constant has no address
eine methode kann in dieser stufe nicht generisch sein	a method cannot be generic in this stage
eine methode wird mit 'impl Typ { fn … }' fuer einen struct- oder grundtyp vereinbart	a method is declared with 'impl Type { fn … }' for a struct or primitive type
eine schnittstelle setzt keine schnittstelle um	an interface does not implement an interface
eine schnittstelle wird mit 'interface {} {{ … }}' vereinbart	an interface is declared with 'interface {} {{ … }}'
eine schnittstellenmethode hat keinen rumpf ('{}.{}')	an interface method has no body ('{}.{}')
eine schnittstellenmethode kann in dieser stufe nicht generisch sein	an interface method cannot be generic in this stage
eine typparameterliste braucht mindestens einen parameter	a type parameter list needs at least one parameter
eine variable kann keinen wert ohne typ haben	a variable cannot have a value without a type
element hat typ {}, erwartet {}	element has type {}, expected {}
element ohne skalaren typ	element without scalar type
ergaenze den fehlenden fall oder '_ => { }'	add the missing arm or '_ => { }'
ergaenze den namen in der 'export'-liste des moduls	add the name to the 'export' list of the module
ergaenze einen fall '{} => {{ }}' oder '_ => {{ }}'	add an arm '{} => {{ }}' or '_ => {{ }}'
erlaubt sind '+', '-', '*', '/' und die vergleiche; fuer den rest wandle ausdruecklich um	allowed are '+', '-', '*', '/' and the comparisons; for the rest convert explicitly
erlaubt sind 'kernel' und 'app'	allowed are 'kernel' and 'app'
erlaubt sind ganzzahl-, bool- und zeigertypen	allowed are integer, bool and pointer types
erlaubt sind ganzzahlen, bool und zeiger	allowed are integers, bool and pointers
erlaubt sind ganzzahlen, bool, zeiger, Gc[T], GcWeak[T] und arrays davon	allowed are integers, bool, pointers, Gc[T], GcWeak[T] and arrays of these
erlaubt sind i8..i64, u8..u64, usize, isize	allowed are i8..i64, u8..u64, usize, isize
erreicht das ende ohne 'return'	reaches the end without 'return'
error: 'as' nicht ausfuehrbar: {} (binutils installiert?)	error: cannot run 'as': {} (binutils installed?)
error: 'ld' nicht ausfuehrbar: {} (binutils installiert?)	error: cannot run 'ld': {} (binutils installed?)
error: --package und eine eingabedatei schliessen einander aus\n	error: --package and an input file are mutually exclusive\n
error: --package und eine eingabedatei schliessen einander aus\n\0	error: --package and an input file are mutually exclusive\n\0
error: interner Fehler beim Lowering ohne Meldung	error: internal error during lowering without message
error: interner Fehler im Typpruefer ohne Meldung	error: internal error in the type checker without message
error: kann '{}' nicht schreiben: {}	error: cannot write '{}': {}
error: keine Eingabedatei angegeben (.{})	error: no input file given (.{})
error: keine Quelldatei	error: no source file
error: {}: das manifest hat keinen einstiegspunkt ('start <pfad>')	error: {}: the manifest has no entry point ('start <path>')
erster Durchlauf muss fehlerfrei sein	first run must be free of errors
erwartet '(' nach den typargumenten von '{}', gefunden '{}'	expected '(' after the type arguments of '{}', found '{}'
erwartet ')'	expected ')'
erwartet ')' ...	expected ')' ...
erwartet ';' oder ein zeilenende nach der anweisung, gefunden '{}'	expected ';' or an end of line after the statement, found '{}'
erwartet '=>' nach dem muster, gefunden '{}'	expected '=>' after the pattern, found '{}'
erwartet 'fn' in einem impl-block, gefunden '{}'	expected 'fn' in an impl block, found '{}'
erwartet 'fn' in einer schnittstelle, gefunden '{}'	expected 'fn' in an interface, found '{}'
erwartet 'fn', 'struct', 'const', 'comptime', 'import', 'export' oder 'profile' auf oberster ebene, gefunden '{}'	expected 'fn', 'struct', 'const', 'comptime', 'import', 'export' or 'profile' at top level, found '{}'
erwartet 'in', 'out' oder 'clobber' in einem asm-block, gefunden '{}'	expected 'in', 'out' or 'clobber' in an asm block, found '{}'
erwartet '{{' am anfang des funktionsrumpfes, gefunden '{}'	expected '{{' at the start of the function body, found '{}'
erwartet '{{' am anfang des methodenrumpfes, gefunden '{}'	expected '{{' at the start of the method body, found '{}'
erwartet '{{' nach '=>' (der rumpf eines falls ist ein block), gefunden '{}'	expected '{{' after '=>' (the body of an arm is a block), found '{}'
erwartet '{{' nach '{}[..]', gefunden '{}'	expected '{{' after '{}[..]', found '{}'
erwartet '{}' {}, gefunden '{}'	expected '{}' {}, found '{}'
erwartet '}' am ende des blocks, gefunden 'Dateiende'	expected '}' at the end of the block, found 'end of file'
erwartet 2 argument(e), gefunden 1	expected 2 argument(s), found 1
erwartet ein muster, gefunden '{}'	expected a pattern, found '{}'
erwartet ein zeichenkettenliteral	expected a string literal
erwartet ein zeichenkettenliteral {}, gefunden '{}'	expected a string literal {}, found '{}'
erwartet eine ganzzahl im muster, gefunden '{}'	expected an integer in the pattern, found '{}'
erwartet eine ganzzahlige arraylaenge, gefunden '{}'	expected an integer array length, found '{}'
erwartet einen ausdruck, gefunden '{}'	expected an expression, found '{}'
erwartet einen namen oder eine zahl als attributargument, gefunden '{}'	expected a name or a number as attribute argument, found '{}'
erwartet einen namen {}, gefunden '{}'	expected a name {}, found '{}'
erwartet einen typ, gefunden '{}'	expected a type, found '{}'
erwartet else-if, {:?}	expected else-if, {:?}
erwartet fehler fuer {:?}	expected error for {:?}
erwartet genau einen ausdruck in einer interpolation	expected exactly one expression in an interpolation
erwartet if, {:?}	expected if, {:?}
erwartet let, {:?}	expected let, {:?}
erwartet mehrere fehler, bekam {}:\n{}	expected several errors, got {}:\n{}
erwartet typ {}, gefunden {}	expected type {}, found {}
erwartet werden {} elemente, das literal hat {}	{} elements are expected, the literal has {}
erwartet wird 'fn main() -> i32'	'fn main() -> i32' is expected
erwartet wird 'fn main() -> i32' oder 'fn main(start: u64) -> i32' (startblock: argc, argv, envp)	'fn main() -> i32' or 'fn main(start: u64) -> i32' is expected (start block: argc, argv, envp)
erwartet wird '{}'	'{}' is expected
erwartet wird '{}' im block	'{}' is expected in the block
erwartet wird \0	is expected \0
erwartet wird die datei '{}'	the file '{}' is expected
erwartet wird die datei \0	the file is expected \0
erwartet zuweisung, {:?}	expected assignment, {:?}
erwartet {} (erfolgswert {} oder ein fehler der menge '{}'), gefunden {}	expected {} (success value {} or an error of the set '{}'), found {}
erwarteter fehler '{}' blieb aus	expected error '{}' did not appear
es fehlt {} in 'impl {} for {} {{ … }}'	{} is missing in 'impl {} for {} {{ … }}'
es gibt keine automatische dereferenzierung, schreibe '(*p).feld'	there is no automatic dereference, write '(*p).field'
es gibt keine implizite umwandlung	there is no implicit conversion
es gibt keine implizite umwandlung, benutze 'as f64'	there is no implicit conversion, use 'as f64'
es gibt keine implizite umwandlung, benutze 'as'	there is no implicit conversion, use 'as'
es gibt keine implizite umwandlung, schreibe z. B. 'x != 0'	there is no implicit conversion, write e.g. 'x != 0'
es gibt keine implizite umwandlung; schreibe z. B. 'x as i32'	there is no implicit conversion; write e.g. 'x as i32'
es muss gefaltet werden: {:?}	it must be folded: {:?}
f64 im Wertesatz	f64 in the value set
faden-primitiv mit falscher stellenzahl	thread primitive with wrong arity
falsche Kante geht direkt nach bb_e	wrong edge goes straight to bb_e
falsche argumentzahl fuer diese funktion	wrong argument count for this function
fehlermenge '{}' hat keine variante	error set '{}' has no variant
fehlermenge '{}' hat keine variante '{}'	error set '{}' has no variant '{}'
fehlermenge '{}' ist bereits deklariert	error set '{}' is already declared
fehlervariante '{}' ist in fehlermenge '{}' bereits deklariert	error variant '{}' is already declared in error set '{}'
fehlerwert der menge '{}' passt nicht zur fehlermenge '{}'	error value of the set '{}' does not fit the error set '{}'
fehlt das feld 'y'	the field 'y' is missing
feld '{}' der gc-klasse '{}' enthaelt einen schnittstellenwert	field '{}' of the gc class '{}' contains an interface value
feld '{}' hat den aufzaehlungstyp '{}' — das wird in dieser stufe nicht unterstuetzt	field '{}' has the enum type '{}' — that is not supported in this stage
feld '{}' hat typ {}, erwartet {}	field '{}' has type {}, expected {}
feld '{}' ist doppelt angegeben	field '{}' is given twice
feld '{}' ist in 'gc class {}' bereits deklariert	field '{}' is already declared in 'gc class {}'
feld '{}' ist in struct '{}' bereits deklariert	field '{}' is already declared in struct '{}'
feld '{}' ist mehrfach angegeben	field '{}' is given more than once
feld '{}' ist schon in der basis von 'gc class {}' vergeben	field '{}' is already taken in the base of 'gc class {}'
feld '{}' von 'gc class {}' erwartet {}, gefunden {}	field '{}' of 'gc class {}' expects {}, found {}
feldtyp {} ist in einer gc-klasse nicht erlaubt	field type {} is not allowed in a gc class
feldzugriff auf nicht-struct	field access on a non-struct
feldzugriff auf nicht-struct-typ i32	field access on the non-struct type i32
feldzugriff auf nicht-struct-typ {}	field access on the non-struct type {}
feldzugriff auf zeigertyp {}	field access on the pointer type {}
fir (opt):  {} Funktionen, {} Bloecke, {} Instruktionen	fir (opt):  {} functions, {} blocks, {} instructions
fir (roh):  {} Funktionen, {} Bloecke, {} Instruktionen	fir (raw):  {} functions, {} blocks, {} instructions
fuer '{}' ist kein 'impl'-block vereinbart	no 'impl' block is declared for '{}'
fuer ein feld	for a field
fuer ein feld der gc-klasse	for a field of the gc class
fuer ein feld im struct-literal	for a field in the struct literal
fuer ein structfeld	for a struct field
fuer eine schranke am typparameter	for a bound on the type parameter
fuer eine variante der aufzaehlung	for a variant of the enum
fuer eine variante der fehlermenge	for a variant of the error set
fuer einen parameter	for a parameter
fuer einen typparameter	for a type parameter
funktion '{}' erreicht das ende ohne 'return' (rueckgabetyp {})	function '{}' reaches the end without 'return' (return type {})
funktion '{}' erwartet {} argument(e), gefunden {}	function '{}' expects {} argument(s), found {}
funktion '{}' ist bereits deklariert	function '{}' is already declared
funktion fehlt	function missing
funktionszeiger gibt es in stufe 0 nicht, rufe sie mit '(...)' auf	function pointers do not exist in stage 0, call them with '(...)'
ganzzahlen	integers
ganzzahlliteral ist zu gross (mehr als 64 bit)	integer literal is too large (more than 64 bit)
ganzzahlliteral ohne ziffern (basis 	integer literal without digits (base 
ganzzahlliteral ohne ziffern (basis {})	integer literal without digits (base {})
ganzzahlliteral {} passt nicht in den typ {}	integer literal {} does not fit into the type {}
gc-allokation ohne fehlerunion	gc allocation without error union
gc-allokation ohne klasse	gc allocation without class
gc-allokation ohne ziel	gc allocation without target
geerbte feldnamen duerfen nicht erneut vergeben werden (SPEC 4.4)	inherited field names must not be assigned again (SPEC 4.4)
gemeinsame Teilausdruecke zusammenfassen	combine common subexpressions
generische funktion	generic function
generische funktion '{}' braucht typargumente, z. B. '{}[i32](..)'	generic function '{}' needs type arguments, e.g. '{}[i32](..)'
generische funktion '{}' ist bereits deklariert	generic function '{}' is already declared
generischer struct '{}' braucht typargumente, z. B. '{}[i32]'	generic struct '{}' needs type arguments, e.g. '{}[i32]'
generischer struct '{}' ist bereits deklariert	generic struct '{}' is already declared
geschachtelte interpolation: ein f\"...\" im ausdruck eines f\"...\" ist noch nicht	nested interpolation: an f\"...\" inside the expression of an f\"...\" is not yet
gesucht wird relativ zur importierenden datei, relativ zu '{}', in den quellen des projekts, in seinen abhaengigkeiten, dann in $FIRNLIB und in <verzeichnis des compiler-binarys>/../lib	the search runs relative to the importing file, relative to '{}', in the sources of the project, in its dependencies, then in $FIRNLIB and in <directory of the compiler binary>/../lib
gib den typ an, z. B. '5 as i32' oder 'let x: i32 = 5'	give the type, e.g. '5 as i32' or 'let x: i32 = 5'
gib den typ an, z. B. 'var a: [i32; 3] = [1, 2, 3]'	give the type, e.g. 'var a: [i32; 3] = [1, 2, 3]'
gibt_es_nicht	does_not_exist
gleitkomma ({}) ist im profil 'kernel' nur mit #[allow_fp] erlaubt — '{}' hat das attribut nicht	floating point ({}) is allowed in profile 'kernel' only with #[allow_fp] — '{}' does not have the attribute
gleitkomma im profil 'kernel' erlauben, FPU-Zustand (SPEC 2)	allow floating point in profile 'kernel', FPU state (SPEC 2)
gleitkomma ist zur uebersetzungszeit noch nicht moeglich	floating point is not yet possible at compile time
gleitkommaliteral: nach 'e' fehlen die ziffern des exponenten	floating point literal: the digits of the exponent are missing after 'e'
heisst wie das paket selbst	has the same name as the package itself
hier sind nur literale, namen, operatoren und aufrufe erlaubt	only literals, names, operators and calls are allowed here
hier sind nur literale, namen, operatoren, umwandlungen und aufrufe erlaubt	only literals, names, operators, conversions and calls are allowed here
hier wird ein wahrheitswert vom typ bool erwartet, gefunden ein ganzzahlliteral	a truth value of type bool is expected here, found an integer literal
hinweis: weitere Fehler in '{}' wurden unterdrueckt ({} angezeigt)	note: further errors in '{}' were suppressed ({} shown)
in 'gc {}{{…}}' fehlen die felder: {}	the fields are missing in 'gc {}{{…}}': {}
in der export-liste	in the export list
in dieser uebersetzung ist keine schnittstelle vereinbart	no interface is declared in this compilation
in einem modulpfad nach 'import'	in a module path after 'import'
in einem zeichenkettenliteral: 	in a string literal: 
in einem zeichenkettenliteral: {}	in a string literal: {}
index auf nicht-array-typ i32	index on the non-array type i32
index auf nicht-array-typ {}	index on the non-array type {}
index auf nicht-indizierbarem typ	index on a non-indexable type
index muss vom typ usize sein	index must be of type usize
index muss vom typ usize sein, gefunden {}	index must be of type usize, found {}
interner Fehler: '!' ist fuer f64 nicht definiert	internal error: '!' is not defined for f64
interner Fehler: Bedingung %{} in '{}' ist {}, erwartet bool	internal error: condition %{} in '{}' is {}, expected bool
interner Fehler: Binaeroperation ohne Ziel	internal error: binary operation without target
interner Fehler: Block bb{} in '{}' hat keinen Terminator	internal error: block bb{} in '{}' has no terminator
interner Fehler: Inline-Assembler/MMIO im registerzuteilenden Pfad	internal error: inline assembler/MMIO in the register-allocating path
interner Fehler: Umwandlung ohne Ziel	internal error: conversion without target
interner Fehler: Unaeroperation ohne Ziel	internal error: unary operation without target
interner Fehler: Vergleich ohne Ziel	internal error: comparison without target
interner Fehler: alloca ohne Platz	internal error: alloca without space
interner Fehler: alloca ohne Ziel	internal error: alloca without target
interner Fehler: asm mit out ohne Ziel	internal error: asm with out but without target
interner Fehler: atomadd ohne Ziel	internal error: atomadd without target
interner Fehler: atomcas ohne Ziel	internal error: atomcas without target
interner Fehler: barrier ohne Ziel	internal error: barrier without target
interner Fehler: cmp+jcc ohne Vergleich	internal error: cmp+jcc without comparison
interner Fehler: cmp+jcc ohne brcond	internal error: cmp+jcc without brcond
interner Fehler: const ohne Ziel	internal error: const without target
interner Fehler: emit_switch ohne switch	internal error: emit_switch without switch
interner Fehler: gc_state ohne Ziel	internal error: gc_state without target
interner Fehler: leerer Block bei cmp+jcc	internal error: empty block at cmp+jcc
interner Fehler: load ohne Ziel	internal error: load without target
interner Fehler: mmio_load ohne Ziel	internal error: mmio_load without target
interner Fehler: operator '{:?}' ist fuer f64 nicht definiert	internal error: operator '{:?}' is not defined for f64
interner Fehler: ptradd ohne Ziel	internal error: ptradd without target
interner Fehler: select ohne Ziel	internal error: select without target
interner Fehler: spawn ohne Ziel	internal error: spawn without target
interner Fehler: switch ueber void	internal error: switch over void
interner Fehler: switch-Wert liegt in rax	internal error: switch value is in rax
interner Fehler: syscall ohne Nummer	internal error: syscall without number
interner Fehler: threadself ohne Ziel	internal error: threadself without target
interner Fehler: vtab ohne Ziel	internal error: vtab without target
interner fehler beim uebersetzen nach FIR: alloca ausserhalb des eintrittsblocks in '{}'	internal error while lowering to FIR: alloca outside the entry block in '{}'
interner fehler beim uebersetzen nach FIR: block bb{} in '{}' ohne terminator	internal error while lowering to FIR: block bb{} in '{}' without terminator
interner fehler beim uebersetzen nach FIR: signatur von '{}' fehlt	internal error while lowering to FIR: signature of '{}' is missing
interner fehler beim uebersetzen nach FIR: {}	internal error while lowering to FIR: {}
interner fehler: unbekannter asm-block	internal error: unknown asm block
interner fehler: unbekannter musterabgleich	internal error: unknown pattern match
interpolation f\"...\" ausserhalb einer anweisung (etwa in einer const) ist nicht sagbar	interpolation f\"...\" outside a statement (for example in a const) cannot be expressed
ist keine funktion dieses programms	is not a function of this program
ist keine lokale variable	is not a local variable
jede schranke wird hoechstens einmal genannt	each bound is named at most once
jeder pfad muss mit 'return <wert>' enden	every path must end with 'return <value>'
kann '{}' nicht lesen: {}	cannot read '{}': {}
kann \0	cannot \0
kein Einstiegspunkt: 'fn main() -> i32' fehlt	no entry point: 'fn main() -> i32' is missing
kein Sammellauf in diesem Aufrufbaum (SPEC 3.5.4)	no collection run in this call tree (SPEC 3.5.4)
kein Sprung auf Geheimnisdaten, im Codegen geprueft (SPEC 9.2)	no jump on secret data, checked in the code generator (SPEC 9.2)
kein ```firdump-Block in docs/FIR.md gefunden	no ```firdump block found in docs/FIR.md
kein cmov:\n{}	no cmov:\n{}
kein gueltiges UTF-8	not valid UTF-8
kein manifest in '{}'	no manifest in '{}'
kein manifest in \0	no manifest in \0
kein skalierter Speicheroperand:\n{}	no scaled memory operand:\n{}
kein typ erfuellt diese schranke	no type satisfies this bound
kein typ setzt '{}' um	no type implements '{}'
kein zeichenkettenliteral: erwartet \"...\", b\"...\" oder u\"...\", gefunden {}	not a string literal: expected \"...\", b\"...\" or u\"...\", found {}
kein zusaetzlicher pfad	no additional path
kein zuweisbarer ausdruck	not an assignable expression
keine Bloecke	no blocks
keine Eingabedatei angegeben (.{})	no input file given (.{})
keine funktion 'main'	no function 'main'
keine sprungtabelle:\n{}	no jump table:\n{}
konstante '{}' hat typ {}, der wert ist vom typ {}	constant '{}' has type {}, the value is of type {}
konstante '{}' ist bereits deklariert	constant '{}' is already declared
konstante mit nicht-skalarem typ	constant with a non-scalar type
konstanter ausdruck darf keine zeiger benutzen	a constant expression must not use pointers
konstanter ausdruck ist zu tief verschachtelt	constant expression is nested too deeply
konstanter ausdruck muss zur uebersetzungszeit auswertbar sein (nur literale, konstanten, operatoren und aufrufe)	a constant expression must be evaluable at compile time (only literals, constants, operators and calls)
lagere den musterabgleich in eine nicht generische funktion aus	move the pattern match into a non-generic function
laufzeit ohne '{}'	runtime without '{}'
leere und einfach verkettete Basisbloecke verschmelzen	merge empty and singly linked basic blocks
leeres zeichenkettenliteral	empty string literal
linke seite ist kein zuweisbarer ausdruck (variable, feld, index oder '*zeiger')	left side is not an assignable expression (variable, field, index or '*pointer')
literal eines aggregats als wert	literal of an aggregate as a value
literal erwartet	literal expected
lowering lieferte kein modul	lowering yielded no module
main fehlt	main is missing
maskierung am ende des literals	escape at the end of the literal
mehr als eine Eingabedatei angegeben	more than one input file given
mehrere module deklarieren einen typ dieses namens	several modules declare a type of this name
mehrfachvererbung ist nicht erlaubt	multiple inheritance is not allowed
meldung '{}' fehlt in:\n{}	message '{}' is missing in:\n{}
meldung fehlt:\n{}	message missing:\n{}
methode '{}' auf einem wert vom typ {} — dieser typ kann keine methoden haben	method '{}' on a value of type {} — this type cannot have methods
methode '{}' erwartet {} argument(e), gefunden {}	method '{}' expects {} argument(s), found {}
methodenaufruf ohne empfaenger	method call without receiver
mit 'let' gebunden	bound with 'let'
mmio-lesen mit falscher stellenzahl	mmio read with wrong arity
mmio-schreiben mit falscher stellenzahl	mmio write with wrong arity
modul 'm' steht mehrfach	module 'm' appears more than once
modul '{}' hat kein element '{}'	module '{}' has no element '{}'
modul '{}' ist in paket '{}' nicht oeffentlich	module '{}' is not public in package '{}'
modul '{}' ist nicht eingebunden	module '{}' is not imported
modul '{}' steht mehrfach in 'public'	module '{}' appears more than once in 'public'
modul '{}' wird mehrfach eingebunden	module '{}' is imported more than once
modul '{}' wurde nicht gefunden	module '{}' was not found
modul \0	module \0
monomorphisierung: zu viele auspraegungen (rekursive generische verwendung?)	monomorphization: too many instantiations (recursive generic use?)
muster 'true'/'false' passt nicht zum typ {}	pattern 'true'/'false' does not fit the type {}
muster '{}::{}' erwartet {} untermuster, gefunden {}	pattern '{}::{}' expects {} subpatterns, found {}
muster der aufzaehlung '{}' passt nicht zum typ '{}'	pattern of the enum '{}' does not fit the type '{}'
muster der aufzaehlung '{}' passt nicht zum typ {}	pattern of the enum '{}' does not fit the type {}
muster ist zu tief verschachtelt (mehr als 32 ebenen)	pattern is nested too deeply (more than 32 levels)
nach '(' — der nullwert hat kein argument	after '(' — the null value has no argument
nach '.' beim feldzugriff	after '.' in the field access
nach 'fn' in einem impl-block	after 'fn' in an impl block
nach 'fn' in einer schnittstelle	after 'fn' in an interface
nach 'for' in 'impl … for …'	after 'for' in 'impl … for …'
nach '{}' fehlt die aufgeschobene anweisung	the deferred statement is missing after '{}'
nach '|' in 'catch |e|'	after '|' in 'catch |e|'
nach dem Aufbau nicht mehr verschiebbar (DESIGN_GOALS 6)	no longer movable after construction (DESIGN_GOALS 6)
nach dem attribut	after the attribute
nach dem ausdruck von 'match'	after the expression of 'match'
nach dem bereich von 'for'	after the range of 'for'
nach dem elementtyp eines arraytyps	after the element type of an array type
nach dem feldnamen	after the field name
nach dem feldnamen im struct-literal	after the field name in the struct literal
nach dem funktionsnamen	after the function name
nach dem geklammerten ausdruck	after the parenthesized expression
nach dem index	after the index
nach dem methodennamen	after the method name
nach dem namen der aufzaehlung	after the name of the enum
nach dem namen der fehlerbindung	after the name of the error binding
nach dem namen der fehlermenge	after the name of the error set
nach dem namen der gc-klasse	after the name of the gc class
nach dem namen der schnittstelle	after the name of the interface
nach dem namen einer konstanten	after the name of a constant
nach dem namen in einer '{}'-anweisung	after the name in a '{}' statement
nach dem operandenwort eines asm-blocks	after the operand word of an asm block
nach dem parameternamen	after the parameter name
nach dem registernamen eines asm-blocks	after the register name of an asm block
nach dem schleifennamen	after the loop name
nach dem structnamen	after the struct name
nach dem strukturnamen	after the structure name
nach dem typ einer konstanten	after the type of a constant
nach dem typargument	after the type argument
nach dem typargument von 'size_of'	after the type argument of 'size_of'
nach dem typnamen in 'impl'	after the type name in 'impl'
nach den argumenten von 'syscall'	after the arguments of 'syscall'
nach den attributargumenten	after the attribute arguments
nach den elementen des arrayliterals	after the elements of the array literal
nach den nutzdaten der variante	after the payload of the variant
nach den nutzdaten einer variante	after the payload of a variant
nach den operanden des asm-blocks	after the operands of the asm block
nach den typargumenten	after the type arguments
nach den untermustern	after the subpatterns
nach der argumentliste	after the argument list
nach der argumentliste eines methodenaufrufs	after the argument list of a method call
nach der arraylaenge	after the array length
nach der bedingung von 'if'	after the condition of 'if'
nach der bedingung von 'while'	after the condition of 'while'
nach der laenge des wiederholungsliterals	after the length of the repetition literal
nach der parameterliste	after the parameter list
nach der typparameterliste	after the type parameter list
name ist hier nicht bekannt	name is not known here
